0.08926,-0.14019,-0.17961,-0.12998,-0.04575,0.04602,0.07032,-0.01860,-0.01731,0.06157
0.00875,-0.01057,0.03088,-0.11067,-0.06208,0.10664,0.12020,-0.18361,-0.14289,-0.01601
0.10735,0.16468,-0.12789,0.11224,-0.10573,0.02117,-0.09598,0.04147,-0.06260,-0.09431
-0.01016,-0.09487,-0.11273,-0.00315,0.09141,-0.13069,0.02969,-0.20036,0.02872,-0.10055
-0.03100,0.01063,-0.05964,-0.13881,-0.13692,0.12036,-0.01928,0.00252,-0.02406,0.06543
-0.14917,0.07039,-0.07932,-0.06524,0.02071,-0.11466,0.07523,0.12929,0.05440,-0.16115
-0.09948,0.06192,-0.09882,0.05997,0.00939,-0.19089,-0.18090,0.03976,0.10388,0.07291
0.03932,0.09671,-0.03408,-0.15809,0.07034,-0.19658,-0.18491,0.07060,0.03770,0.10452
-0.02724,0.04186,0.00117,0.04260,-0.09573,-0.03364,-0.14729,0.05953,0.09522,-0.22389
0.01688,0.16083,-0.17874,0.04068,0.10743,-0.16255,-0.01923,-0.09194,-0.02635,-0.07931
0.03230,-0.04814,0.07865,-0.07447,-0.11322,-0.04996,0.07538,0.08708,0.10139,-0.13865
0.09976,-0.05134,0.04335,-0.08981,-0.17239,0.15469,0.11708,0.15497,-0.00614,-0.00246
-0.06235,0.12144,-0.17593,-0.05163,0.04254,0.12783,-0.03018,0.11404,0.06833,0.02317
-0.11360,0.04369,0.03310,-0.01909,0.08073,0.12670,-0.08339,0.01644,0.08011,-0.16538
0.06306,-0.24286,-0.12231,-0.05787,-0.03850,0.15677,0.06838,-0.09841,0.10603,0.00041
-0.19724,0.05989,-0.08311,-0.07903,0.03566,0.04562,-0.05193,-0.14256,0.10132,0.04334
-0.00269,-0.28759,-0.22138,0.08102,-0.14707,-0.09743,0.09578,0.09637,-0.09997,0.02768
-0.11196,-0.20969,0.08720,-0.15815,0.12568,0.02112,0.06938,-0.03463,-0.17370,0.00121
-0.08783,-0.25874,0.08108,-0.12291,0.00487,0.09852,-0.14730,-0.02994,-0.06468,0.08719
-0.08404,-0.12603,0.06699,0.06076,-0.00155,-0.13650,-0.13698,0.11831,-0.10380,-0.14597
-0.04812,0.07183,-0.18375,-0.01831,0.15369,0.02087,-0.03475,0.05887,-0.03222,-0.10931
0.00822,-0.07156,0.00536,-0.12514,0.06804,-0.11979,-0.21096,0.10350,0.09708,0.00731
-0.12827,-0.16901,0.16484,-0.04625,0.01401,0.00883,0.14028,0.03605,-0.14801,-0.00745
0.07210,-0.06634,0.10740,0.04114,-0.11414,-0.03236,-0.04152,-0.16713,0.07609,0.12378
0.08247,-0.08818,-0.03016,-0.11265,0.12536,0.06064,-0.01833,0.06413,-0.03414,-0.10326
-0.11119,-0.04282,0.01131,0.11870,0.14267,-0.10727,-0.19348,-0.12647,0.03062,-0.06800
0.00459,0.04347,-0.10142,-0.06260,0.14121,-0.14506,-0.15804,0.14865,-0.06456,-0.02889
-0.13083,-0.09567,0.02724,0.01768,0.05041,0.02412,-0.14528,0.04410,-0.13064,0.01966
0.08824,-0.11610,0.03671,0.10484,-0.14428,-0.00069,-0.06240,0.07154,0.06445,0.03107
0.15638,-0.15695,-0.13561,0.10566,-0.07485,0.03557,0.08969,0.10350,-0.05002,-0.19215
-0.13909,-0.01323,-0.19084,0.07574,0.10318,0.07078,0.10231,-0.01029,0.07203,0.09815
-0.17708,0.13704,-0.14380,0.06851,0.01213,-0.02045,-0.23491,-0.01767,-0.00705,0.05561
-0.01820,-0.02793,0.08815,-0.16648,0.12676,0.11395,0.07967,-0.01564,-0.03524,-0.04725
0.07045,-0.21902,0.04061,0.12437,0.08363,0.05182,0.09844,-0.20067,-0.12520,0.10407
